drug,trial,condition,sponsor,sponsor_class
Semaglutide (Rybelsus®),NCT07135245,Alzheimer Disease (AD),Rune Skovgaard Rasmussen,OTHER
Semaglutide (Rybelsus®) combined with other interventions,NCT07135245,Alzheimer Disease (AD),Rune Skovgaard Rasmussen,OTHER
Semaglutide Injectable Product,NCT06706284,Type 2 Diabetes,Marzieh Salehi,OTHER
Semaglutide Injectable Product,NCT06706284,Spinal Cord Injuries,Marzieh Salehi,OTHER
Semaglutide Pen,NCT06616961,Obesity,Popular Medical College Hospital,OTHER
Semaglutide Pen,NCT06616961,Type 2 Diabetes Mellitus (T2DM),Popular Medical College Hospital,OTHER
Semaglutide Injection,NCT06339086,Type 2 Diabetes Mellitus,"Chengdu Brilliant Pharmaceutical Co., Ltd.",INDUSTRY
Semaglutide Injection(Ozempic®),NCT06339086,Type 2 Diabetes Mellitus,"Chengdu Brilliant Pharmaceutical Co., Ltd.",INDUSTRY
Semaglutide,NCT06475586,Diabetes Type 2,University of Banja Luka,OTHER
Semaglutide,NCT06475586,Psoriasis Vulgaris,University of Banja Luka,OTHER
Semaglutide Injectable Product,NCT07136714,Major Depressive Disorder,Maj Vinberg,OTHER
Arm 2 - DehydraTECH-semaglutide alone,NCT06648031,Type2diabetes,Lexaria Bioscience Corp.,INDUSTRY
Arm 3 - DehydraTECH-CBD in combination with DehydraTECH-semaglutide,NCT06648031,Type2diabetes,Lexaria Bioscience Corp.,INDUSTRY
Arm 4 - Rybelsus medication (semaglutide) alone,NCT06648031,Type2diabetes,Lexaria Bioscience Corp.,INDUSTRY
Semaglutide Pen Injector [Ozempic],NCT06449625,Inflammation,Klaus Gottlob Müller,OTHER
Semaglutide Pen Injector [Ozempic],NCT06449625,Chemotherapeutic Toxicity,Klaus Gottlob Müller,OTHER
Semaglutide Pen Injector [Ozempic],NCT06449625,Intestinal Mucositis,Klaus Gottlob Müller,OTHER
Semaglutide Injection (Ozempic®),NCT07163624,Type 2 Diabetes Mellitus (T2DM),"The United Bio-Technology (Hengqin) Co., Ltd.",INDUSTRY
Semaglutide Injectable Product,NCT06423599,Obesity,"Jens D Hove, MD,PHD",OTHER
