trial,enrollment,phase
NCT03622905,74.0,
NCT03929302,41.0,
NCT03860857,300.0,PHASE3
NCT02409030,700.0,
NCT03075007,48.0,
NCT06291909,88.0,
NCT03741543,108.0,
NCT03977025,30.0,
NCT00474552,56.0,PHASE1
NCT06406348,53.0,PHASE1
NCT02624778,61.0,PHASE1
NCT00236574,974.0,PHASE3
NCT05614310,60.0,
NCT03384069,31.0,
NCT03226522,366.0,PHASE2;PHASE3
NCT01681602,200.0,PHASE3
NCT04268953,12.0,PHASE1
NCT01582919,304.0,
NCT03978338,200.0,
NCT03682185,421.0,PHASE3
NCT03282097,442.0,
NCT06721156,350.0,PHASE2
NCT06328829,80.0,
NCT05904132,70.0,
NCT01128725,100.0,
NCT05929924,40.0,
NCT02361424,47.0,PHASE2
NCT06963879,60.0,
NCT03503331,160.0,PHASE2
NCT06733714,40.0,
NCT03430648,37.0,
NCT03227185,55.0,
NCT05748613,388.0,
NCT04330482,40.0,
NCT05408780,45.0,PHASE1
NCT05929703,3000.0,
NCT04388254,220.0,PHASE2
NCT04114994,10000.0,
NCT05642351,62.0,
NCT06346275,108.0,
NCT03666624,30.0,
NCT04509271,1300.0,
NCT03373604,71.0,PHASE2
NCT01020838,218.0,PHASE3
NCT05919485,120.0,
NCT04311515,4.0,PHASE2
NCT04866979,200.0,
NCT03270137,19.0,
NCT06467981,160.0,
NCT00795730,24.0,PHASE1
NCT05732935,52.0,
NCT00368459,42.0,PHASE2
NCT05102045,27.0,
NCT03352739,30.0,
NCT05637801,670.0,
NCT04314934,300.0,PHASE2;PHASE3
NCT04123314,20.0,EARLY_PHASE1
NCT04946916,120.0,
NCT02414178,130.0,
NCT06209515,61292.0,
NCT06445582,80.0,
NCT04863495,600.0,
NCT03052712,44.0,
NCT03585907,0.0,
NCT05882344,2.0,
NCT03978052,129.0,
NCT07007208,100.0,PHASE2
NCT06217146,24.0,
NCT00141661,67.0,PHASE2
NCT03801642,46.0,PHASE1;PHASE2
NCT00719394,72.0,PHASE1
NCT00304629,241.0,PHASE3
NCT04731311,4.0,
NCT00254033,40.0,PHASE4
NCT02719938,62.0,
NCT03174938,1505.0,
NCT05643326,53.0,
NCT00104013,1455.0,PHASE3
NCT05377060,28.0,
NCT06444841,200.0,
NCT05468905,4000.0,
NCT00236431,1063.0,PHASE3
NCT06366867,122.0,
NCT07109999,2835.0,
NCT00035204,63.0,PHASE4
NCT01669876,85.0,PHASE2
NCT06151795,10.0,PHASE1
NCT03840928,40000.0,
NCT04759365,25.0,PHASE1
NCT06372587,14.0,
NCT06991816,100.0,
NCT05413655,120.0,PHASE2
NCT04299308,60.0,
NCT01860625,36.0,PHASE1
NCT05877196,216.0,
NCT06116188,40.0,
NCT06937229,600.0,PHASE3
NCT02288000,30.0,PHASE1
NCT03405662,23.0,
NCT06514001,25.0,PHASE2
NCT04434898,212.0,
NCT00765115,27.0,PHASE1
NCT00007189,2625.0,PHASE3
NCT05508789,1500.0,PHASE3
NCT05082883,152.0,
NCT00895895,526.0,PHASE2
NCT07036328,62.0,
NCT02055092,250.0,
NCT06439992,60.0,
NCT06619613,48.0,PHASE1
NCT06862960,40.0,PHASE2
NCT03939780,0.0,
NCT03351452,28.0,
NCT03790774,5.0,
NCT05596760,1800.0,
NCT04785053,34.0,
NCT03621839,50000.0,
NCT03811184,400.0,
NCT03971994,41.0,
NCT04413851,1.0,
NCT04516057,112.0,PHASE3
NCT01461109,4.0,PHASE1
NCT05661084,144.0,
NCT05318040,99.0,PHASE1
NCT00062569,90.0,
NCT04436341,50.0,
NCT04606953,24.0,
NCT06148233,40.0,
NCT04842552,424.0,PHASE3
NCT02959489,315.0,
NCT03402503,52.0,PHASE2
NCT04010175,34.0,
NCT03980730,43.0,PHASE2
NCT06416267,1500.0,
NCT03340571,21.0,
NCT02240693,128.0,PHASE2
NCT03706261,145.0,PHASE1
NCT06837272,285.0,
NCT01183806,40.0,PHASE3
NCT04277104,47.0,
NCT06354933,186.0,
NCT04287738,912.0,
NCT04846426,67.0,
NCT01951118,121.0,PHASE4
NCT06673069,1.0,PHASE1
NCT04592341,192.0,PHASE2
NCT02663531,150.0,
NCT05323812,61.0,PHASE2
NCT03691519,774.0,PHASE3
NCT03819699,3.0,PHASE1
NCT04300933,50.0,
NCT06170268,20000.0,
NCT03786510,32.0,
NCT03971123,32.0,PHASE1
NCT06079827,43.0,
NCT04640077,95.0,PHASE2
NCT05159557,63.0,
NCT02802371,240.0,
NCT00833274,70.0,
NCT00684710,56.0,PHASE1
NCT01819714,31.0,
NCT04585347,12.0,PHASE1
NCT00726115,56.0,PHASE1
NCT04045990,11.0,
NCT00556660,20.0,PHASE1
NCT02249403,362.0,PHASE2
NCT07167966,375.0,PHASE2
NCT06499272,35.0,
NCT01297036,22.0,PHASE1
NCT04200911,10.0,EARLY_PHASE1
NCT04220593,80.0,
NCT04576793,100.0,PHASE2
NCT01378026,120.0,
NCT00745576,14.0,PHASE1
NCT04571697,34647.0,
NCT05067010,93.0,
NCT05527288,50.0,
NCT04597827,40.0,
NCT06105047,40.0,
NCT05976659,20.0,
NCT04074837,56.0,PHASE1
NCT01782248,65.0,
NCT01837641,63.0,PHASE1
NCT04482036,20.0,
NCT03699644,16.0,
NCT05527587,20.0,
NCT02835716,150.0,
NCT04869904,80.0,
NCT04871074,100.0,PHASE2
NCT05009524,120.0,
NCT04079803,64.0,PHASE2
NCT05776641,200.0,
NCT02829801,40.0,
NCT04897464,60.0,
NCT05189106,20.0,PHASE1;PHASE2
NCT05592366,128.0,
NCT05491902,10.0,
NCT05248672,35.0,PHASE1
