trial,enrollment,phase
NCT00528372,1067.0,PHASE3
NCT06803836,118.0,
NCT01974544,150.0,
NCT02629952,36.0,
NCT02280174,20.0,PHASE4
NCT00451620,30.0,PHASE2
NCT00757588,455.0,PHASE3
NCT06605872,500.0,
NCT00588172,0.0,PHASE4
NCT01542775,80.0,
NCT06283992,84.0,
NCT01572415,409.0,
NCT05687968,39.0,
NCT06562842,60.0,
NCT01588470,130.0,PHASE4
NCT00992641,167.0,
NCT05597202,22.0,PHASE4
NCT01038648,0.0,PHASE3
NCT04698486,17.0,
NCT01785134,81.0,
NCT06727721,10.0,PHASE2
NCT06251635,15.0,
NCT02078440,18.0,PHASE1
NCT00763074,70.0,
NCT05116410,68.0,PHASE1
NCT06077162,67.0,
NCT02088827,12.0,
NCT02883127,189.0,
NCT00240370,1159.0,PHASE3
NCT05218395,900.0,
NCT02628301,20.0,
NCT01051674,173.0,PHASE4
NCT00108459,156.0,PHASE3
NCT01940302,71.0,EARLY_PHASE1
NCT01053195,276793.0,
NCT02674893,48.0,PHASE4
NCT01680133,20.0,
NCT03861052,636.0,PHASE3
NCT01574508,120.0,PHASE4
NCT01866462,10.0,EARLY_PHASE1
NCT02721888,127.0,PHASE4
NCT02359461,46.0,
NCT06391983,85.0,
NCT05963022,168.0,PHASE3
NCT00950677,16.0,PHASE4
NCT02815657,16.0,PHASE1
NCT00817271,8.0,PHASE1
NCT05844644,100.0,PHASE2
NCT06045221,1576.0,PHASE3
NCT00732147,0.0,
NCT01824017,35.0,
NCT05210517,10.0,PHASE4
NCT04970810,505.0,
NCT00639613,20.0,
NCT07148713,60.0,
NCT06953180,6720.0,
NCT02280486,388.0,PHASE4
NCT06577584,20000.0,
NCT00471549,18.0,PHASE4
NCT06148649,234.0,PHASE2
NCT07003191,2600.0,
NCT02098746,294.0,
NCT04167761,61.0,EARLY_PHASE1
NCT05720377,0.0,
NCT04112875,120.0,
NCT02811575,121.0,
NCT05589467,26.0,
NCT02772887,8.0,
NCT06192693,54.0,PHASE3
NCT00775684,47.0,
NCT01213784,40.0,PHASE2
NCT06654960,20.0,PHASE1
NCT00212303,115.0,PHASE4
NCT05368454,100.0,
NCT05216172,26.0,PHASE2
NCT02293577,15.0,
NCT03982381,2067.0,PHASE4
NCT01408628,51.0,
NCT00574665,32.0,
NCT01114438,45.0,
NCT00202748,220.0,PHASE3
NCT03495908,136.0,
NCT04905589,22.0,
NCT00264589,59.0,PHASE4
NCT05202470,30.0,
NCT00829569,11.0,
NCT01237301,124.0,
NCT01744236,70.0,PHASE4
NCT05833958,0.0,PHASE2
NCT05029076,28.0,PHASE1
NCT06323174,180.0,PHASE3
NCT04907110,30.0,
NCT02739971,75.0,
NCT01468116,30.0,
NCT02353416,50.0,
NCT02474147,60.0,
NCT04501991,114.0,
NCT05692518,9.0,
NCT01571310,30.0,
NCT00639080,25.0,
NCT01187069,40.0,
NCT06078683,30.0,
NCT02555631,29.0,
NCT02055014,72.0,PHASE4
NCT02815748,8.0,PHASE1
NCT00859755,41.0,PHASE1
NCT05349955,5600.0,
NCT04056208,66.0,PHASE2
NCT00481117,37.0,PHASE1
NCT00971659,48.0,PHASE1
NCT06152588,160.0,
NCT05263401,14.0,
NCT05170867,49.0,
NCT04917393,45.0,
NCT01176149,62.0,PHASE3
NCT05504785,5.0,
NCT02965443,4.0,PHASE4
NCT01095666,1484.0,PHASE3
NCT02301806,30.0,PHASE4
NCT01944449,60.0,
NCT00251940,555.0,PHASE3
NCT02081118,209.0,PHASE2
NCT01176097,24.0,PHASE1
NCT06605859,40.0,
NCT04427488,30.0,
