drug,trial,condition,sponsor,sponsor_class
Donepezil,NCT00381381,Alzheimer's Disease,Eisai Korea Inc.,INDUSTRY
Donepezil Hydrochloride,NCT00165724,Alzheimer's Disease,Eisai Korea Inc.,INDUSTRY
DONEPEZIL HYDROCHLORIDE,NCT00165750,Alzheimer's Disease,Eisai Korea Inc.,INDUSTRY
Donepezil HCL,NCT02097056,Alzheimer's Disease,Eisai Korea Inc.,INDUSTRY
Donepezil,NCT00505167,"Dementia, Alzheimer Type",Hospital Miguel Servet,OTHER
Donepezil,NCT01490567,Schizophrenia,Central South University,OTHER
Donepezil,NCT01490567,Impaired Cognition,Central South University,OTHER
Donepezil,NCT00776347,Dementia With Lewy Bodies (DLB),Osaka University,OTHER
donepezil,NCT00912457,Obstructive Sleep Apnea,Associacao Fundo de Incentivo a Psicofarmcologia,OTHER
donepezil,NCT00480870,Alzheimer Disease,Associacao Fundo de Incentivo a Psicofarmcologia,OTHER
donepezil,NCT00480870,"Sleep Apnea, Obstructive",Associacao Fundo de Incentivo a Psicofarmcologia,OTHER
Donepezil,NCT00766363,Alzheimer's Disease,FORUM Pharmaceuticals Inc,INDUSTRY
Donepezil,NCT00766363,Central Nervous System Diseases,FORUM Pharmaceuticals Inc,INDUSTRY
Donepezil,NCT01014858,Parkinson's Disease,Newcastle-upon-Tyne Hospitals NHS Trust,OTHER
Donepezil,NCT01822951,Alzheimer Disease,Ever Neuro Pharma GmbH,INDUSTRY
Cerebrolysin + donepezil,NCT00911807,Alzheimer Disease,Ever Neuro Pharma GmbH,INDUSTRY
Donepezil + placebo,NCT00911807,Alzheimer Disease,Ever Neuro Pharma GmbH,INDUSTRY
Donepezil,NCT02549196,Dementia of Alzheimer's Type,"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",INDUSTRY
Donepezil Pamoate for Injection 17mg,NCT03932916,AD,"Shanghai Synergy Pharmaceutical Sciences Co., Ltd.",INDUSTRY
Donepezil Pamoate for Injection 34mg,NCT03932916,AD,"Shanghai Synergy Pharmaceutical Sciences Co., Ltd.",INDUSTRY
Donepezil Hydrochloride 5mg,NCT03932916,AD,"Shanghai Synergy Pharmaceutical Sciences Co., Ltd.",INDUSTRY
Donepezil Dihydroxynaphthalate for Injection,NCT06373094,Alzheimer Disease,"Shanghai Synergy Pharmaceutical Sciences Co., Ltd.",INDUSTRY
Donepezil,NCT00533065,Elderly,Ludwig Boltzmann Gesellschaft,OTHER
Donepezil TDS,NCT04617782,Healthy Subjects,"Corium, Inc.",INDUSTRY
Donepezil TDS,NCT03432195,Alzheimer's Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS,NCT03259958,Alzheimer's Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS,NCT03397862,Skin Irritation,"Corium, Inc.",INDUSTRY
Donepezil TDS,NCT03397862,Sensitization,"Corium, Inc.",INDUSTRY
Donepezil TDS Version A,NCT02968719,Alzheimer Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS Version B,NCT02968719,Alzheimer Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS Version D,NCT02968719,Alzheimer Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS Version E,NCT02968719,Alzheimer Disease,"Corium, Inc.",INDUSTRY
Donepezil TDS,NCT03438604,Alzheimer's Disease,"Corium, Inc.",INDUSTRY
donepezil (5-10 mg/day),NCT00206947,Schizophrenia,Birte Glenthoj,OTHER
Donepezil Hydrochloride Tablets,NCT06393413,Ensure the Legality and Compliance of the Testing Process,Changchun University of Chinese Medicine,OTHER
Donepezil,NCT06417086,Alzheimer Disease,ZhanYJ,OTHER
Donepezil,NCT06417086,Cognitive Impairment,ZhanYJ,OTHER
Donepezil,NCT03030105,Alzheimer Disease,Tetra Discovery Partners,INDUSTRY
Donepezil placebo,NCT03030105,Alzheimer Disease,Tetra Discovery Partners,INDUSTRY
Donepezil,NCT03698695,Alzheimer Disease,Theranexus,INDUSTRY
Donepezil,NCT03698695,Cognitive Impairment,Theranexus,INDUSTRY
Donepezil,NCT03011476,Parkinson Disease,Kyung Hee University Hospital,OTHER
Donepezil,NCT00182884,Delirium,Indiana University Health,OTHER
Donepezil,NCT00182884,Postoperative Complications,Indiana University Health,OTHER
Donepezil patch,NCT03197740,Alzheimer Disease,Icure Pharmaceutical Inc.,INDUSTRY
Donepezil,NCT02178124,Alzheimer Disease,Icure Pharmaceutical Inc.,INDUSTRY
Donepezil patch,NCT01860625,Alzheimer Disease,Icure Pharmaceutical Inc.,INDUSTRY
Donepezil,NCT00693004,Alzheimer's Disease,"Epix Pharmaceuticals, Inc.",INDUSTRY
350 mg Donepezil Transdermal Patch,NCT00916383,Irritation/Irritant,"Teikoku Pharma USA, Inc.",INDUSTRY
Donepezil,NCT03055741,Mild-moderate Alzheimer's Disease,"Daehwa Pharmaceutical Co., Ltd.",INDUSTRY
Donepezil,NCT05811000,Mild Alzheimer Disease,"Mediforum Ltd., Co.",INDUSTRY
Donepezil placebo,NCT05811000,Mild Alzheimer Disease,"Mediforum Ltd., Co.",INDUSTRY
Donepezil,NCT02331771,Memory Impairment,Porter Adventist Hospital,OTHER
Donepezil,NCT00196690,Aphasia,Gabinete Berthier y Martínez,OTHER
Donepezil,NCT00196690,Stroke,Gabinete Berthier y Martínez,OTHER
[11C]donepezil PET,NCT02012595,Parkinson's Disease,Per Borghammer,OTHER
[11C]donepezil PET,NCT01877538,Parkinson's Disease,Per Borghammer,OTHER
Donepezil HCI (drug),NCT00315367,Relapsing-Remitting Multiple Sclerosis,Neurognostics,INDUSTRY
Donepezil,NCT03109314,Amblyopia,Dennis Levi,OTHER
Donepezil,NCT01451749,Mild Cognitive Impairment,North China Pharmaceutical Group Corporation,INDUSTRY
