sponsor,sponsor_class,trials
"Canadian Network for Observational Drug Effect Studies, CNODES",OTHER,7
Ludwig-Maximilians - University of Munich,OTHER,7
CHU de Quebec-Universite Laval,OTHER,7
Peking University,OTHER,7
"University Hospital, Ghent",OTHER,7
Zhujiang Hospital,OTHER,7
Midwest Center for Metabolic and Cardiovascular Research,OTHER,7
"Sanwa Kagaku Kenkyusho Co., Ltd.",INDUSTRY,7
Fred Hutchinson Cancer Center,OTHER,7
Kaohsiung Medical University Chung-Ho Memorial Hospital,OTHER,7
Herlev Hospital,OTHER,7
Poznan University of Medical Sciences,OTHER,7
King's College Hospital NHS Trust,OTHER,7
Children's National Research Institute,OTHER,7
Mike O'Callaghan Military Hospital,FED,7
LifeScan Scotland Ltd,INDUSTRY,7
The University of The West Indies,OTHER,7
Case Western Reserve University,OTHER,7
"Clinical Nutrition Research Center, Illinois Institute of Technology",INDUSTRY,7
Dompé Farmaceutici S.p.A,INDUSTRY,7
Universidade do Porto,OTHER,6
St. Louis University,OTHER,6
ikfe-CRO GmbH,INDUSTRY,6
"Intermountain Health Care, Inc.",OTHER,6
PhaseBio Pharmaceuticals Inc.,INDUSTRY,6
Fondation Hôpital Saint-Joseph,OTHER,6
Chonbuk National University Hospital,OTHER,6
Guangdong Provincial People's Hospital,OTHER,6
Azienda Ospedaliero-Universitaria Careggi,OTHER,6
Tampere University Hospital,OTHER,6
vTv Therapeutics,INDUSTRY,6
"Samuel Lunenfeld Research Institute, Mount Sinai Hospital",OTHER,6
Duke-NUS Graduate Medical School,OTHER,6
Fuzhou General Hospital,OTHER,6
Imperial College London Diabetes Centre,OTHER,6
Akros Pharma Inc.,INDUSTRY,6
Michigan State University,OTHER,6
SingHealth Polyclinics,OTHER,6
Diasome Pharmaceuticals,INDUSTRY,6
"Instituto Nacional de Salud Publica, Mexico",OTHER,6
Elaine Chow,OTHER,6
Geropharm,INDUSTRY,6
Saglik Bilimleri Universitesi,OTHER,6
Shanghai 10th People's Hospital,OTHER,6
"Centro Universitario de Ciencias de la Salud, Mexico",OTHER,6
National and Kapodistrian University of Athens,OTHER,6
"Nanfang Hospital, Southern Medical University",OTHER,6
Poitiers University Hospital,OTHER,6
China-Japan Friendship Hospital,OTHER,6
"Carmot Therapeutics, Inc.",INDUSTRY,6
Nationwide Children's Hospital,OTHER,6
Xeris Pharmaceuticals,INDUSTRY,6
Marc Breton,OTHER,6
Uppsala University Hospital,OTHER,6
Garvan Institute of Medical Research,OTHER,6
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,6
"University Hospitals, Leicester",OTHER,6
Ruhr University of Bochum,OTHER,6
The Hong Kong Polytechnic University,OTHER,6
Clalit Health Services,OTHER,6
East Carolina University,OTHER,6
"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",INDUSTRY,6
NHS Greater Glasgow and Clyde,OTHER,6
Centre Hospitalier Universitaire de Nice,OTHER,6
Goztepe Prof Dr Suleyman Yalcın City Hospital,OTHER,6
Korea University,OTHER,6
University of Giessen,OTHER,6
University of South Florida,OTHER,6
The George Institute,OTHER,6
Cedars-Sinai Medical Center,OTHER,6
Heidelberg University,OTHER,6
University of Eastern Finland,OTHER,6
"National University Hospital, Singapore",OTHER,6
Wageningen University,OTHER,6
University of Reading,OTHER,6
Tufts Medical Center,OTHER,6
Azienda Ospedaliero-Universitaria di Parma,OTHER,6
"University of Nevada, Las Vegas",OTHER,6
Alexandria University,OTHER,6
Palo Alto Medical Foundation,OTHER,6
Catholic University of the Sacred Heart,OTHER,6
State University of New York - Upstate Medical University,OTHER,6
Uşak University,OTHER,6
University of South Carolina,OTHER,6
Diabetes Care Center,INDUSTRY,6
Fractyl Health Inc.,INDUSTRY,6
Galenicum Health,INDUSTRY,6
Prokidney,INDUSTRY,6
"Shanghai Yinnuo Pharmaceutical Technology Co., Ltd.",OTHER,6
Istanbul University - Cerrahpasa,OTHER,6
Medtronic - MITG,INDUSTRY,6
Ningbo No. 1 Hospital,OTHER,6
University of Vermont,OTHER,6
Wolfson Medical Center,OTHER_GOV,6
United Arab Emirates University,OTHER,6
Kathleen Dungan,OTHER,6
Westlake University,OTHER,6
"Sirtris, a GSK Company",INDUSTRY,6
"Queen's University, Belfast",OTHER,6
Sidra Medicine,OTHER,6
Fundación para la Investigación del Hospital Clínico de Valencia,OTHER,6
Bogomolets National Medical University,OTHER,6
Allergan,INDUSTRY,6
Sinocare,INDUSTRY,6
University of Connecticut,OTHER,6
Hasan Kalyoncu University,OTHER,6
EyeSense GmbH,INDUSTRY,6
Asia Diabetes Foundation,OTHER,6
Rennes University Hospital,OTHER,6
CHU de Reims,OTHER,5
Huashan Hospital,OTHER,5
Ospedale San Raffaele,OTHER,5
Dokuz Eylul University,OTHER,5
Fayoum University,OTHER,5
National Eye Institute (NEI),NIH,5
Szeged University,OTHER,5
Kasr El Aini Hospital,OTHER,5
American University of Beirut Medical Center,OTHER,5
Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,5
Chongqing Medical University,OTHER,5
University of Bern,OTHER,5
King Abdullah International Medical Research Center,OTHER,5
Hiroshima University,OTHER,5
Agency for Healthcare Research and Quality (AHRQ),FED,5
West China Hospital,OTHER,5
IRCCS Azienda Ospedaliero-Universitaria di Bologna,OTHER,5
Capital Medical University,OTHER,5
University of the Balearic Islands,OTHER,5
Hartford Hospital,OTHER,5
M.D. Anderson Cancer Center,OTHER,5
Beni-Suef University,OTHER,5
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER,5
"Tranzyme, Inc.",INDUSTRY,5
KU Leuven,OTHER,5
University of Pecs,OTHER,5
Weill Cornell Medical College in Qatar,OTHER,5
Hospital Universitario Dr. Jose E. Gonzalez,OTHER,5
"AJU Pharm Co., Ltd.",INDUSTRY,5
"Merck KGaA, Darmstadt, Germany",INDUSTRY,5
Diabeloop,INDUSTRY,5
Universidade Federal do Rio de Janeiro,OTHER,5
"Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health",OTHER,5
National Heart Centre Singapore,OTHER,5
"National Health Research Institutes, Taiwan",OTHER,5
National Taipei University of Nursing and Health Sciences,OTHER,5
"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,5
Arkansas Children's Hospital Research Institute,OTHER,5
William Beaumont Hospitals,OTHER,5
Dexa Medica Group,INDUSTRY,5
Ramathibodi Hospital,OTHER,5
Inova Health Care Services,OTHER,5
British University In Egypt,OTHER,5
University of Athens,OTHER,5
Ligand Pharmaceuticals,INDUSTRY,5
Population Health Research Institute,OTHER,5
Texas Tech University Health Sciences Center,OTHER,5
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY,5
University of Guelph,OTHER,5
